Current learning rate: 0.001
Epoch: [3][200/383]	Loss 1.3876 (1.3359)	Accuracy 45.312 (50.470)
Epoch: [3][210/383]	Loss 1.2382 (1.3340)	Accuracy 50.781 (50.518)
Epoch: [3][220/383]	Loss 1.3923 (1.3328)	Accuracy 46.875 (50.633)
Epoch: [3][230/383]	Loss 1.2195 (1.3297)	Accuracy 50.000 (50.710)
Epoch: [3][240/383]	Loss 1.1882 (1.3299)	Accuracy 61.719 (50.759)
Epoch: [3][250/383]	Loss 1.2671 (1.3280)	Accuracy 53.125 (50.781)
Epoch: [3][260/383]	Loss 1.3702 (1.3262)	Accuracy 50.000 (50.835)
Epoch: [3][270/383]	Loss 1.3209 (1.3259)	Accuracy 51.562 (50.868)
Epoch: [3][280/383]	Loss 1.3553 (1.3246)	Accuracy 51.562 (50.917)
Epoch: [3][290/383]	Loss 1.2686 (1.3232)	Accuracy 55.469 (50.980)
Epoch: [3][300/383]	Loss 1.2460 (1.3221)	Accuracy 51.562 (51.046)
Epoch: [3][310/383]	Loss 1.4056 (1.3206)	Accuracy 48.438 (51.143)
Epoch: [3][320/383]	Loss 1.3142 (1.3200)	Accuracy 51.562 (51.158)
Epoch: [3][330/383]	Loss 1.2210 (1.3166)	Accuracy 49.219 (51.291)
Epoch: [3][340/383]	Loss 1.3092 (1.3157)	Accuracy 48.438 (51.329)
Epoch: [3][350/383]	Loss 1.1811 (1.3128)	Accuracy 53.906 (51.433)
Epoch: [3][360/383]	Loss 1.3842 (1.3125)	Accuracy 49.219 (51.487)
Epoch: [3][370/383]	Loss 1.1252 (1.3111)	Accuracy 57.031 (51.554)
Epoch: [3][380/383]	Loss 1.2510 (1.3088)	Accuracy 55.469 (51.675)
Test: [  0/164]	Loss 1.5543 (1.5543)	Accuracy 27.344 (27.344)
Test: [ 10/164]	Loss 1.2275 (1.4724)	Accuracy 50.000 (38.068)
Test: [ 20/164]	Loss 2.2072 (1.5662)	Accuracy 10.156 (36.607)
Test: [ 30/164]	Loss 1.6246 (1.6338)	Accuracy 25.000 (33.921)
Test: [ 40/164]	Loss 1.8534 (1.6696)	Accuracy 28.906 (33.613)
Test: [ 50/164]	Loss 1.0366 (1.6483)	Accuracy 65.625 (35.509)
Test: [ 60/164]	Loss 0.8774 (1.5280)	Accuracy 71.094 (41.189)
Test: [ 70/164]	Loss 1.0017 (1.4280)	Accuracy 63.281 (45.720)
Test: [ 80/164]	Loss 1.9957 (1.4054)	Accuracy 21.875 (46.730)
Test: [ 90/164]	Loss 2.1630 (1.4770)	Accuracy 32.812 (44.566)
Test: [100/164]	Loss 0.1598 (1.4279)	Accuracy 95.312 (46.890)
Test: [110/164]	Loss 0.4929 (1.3464)	Accuracy 85.156 (50.408)
Test: [120/164]	Loss 0.4624 (1.2753)	Accuracy 88.281 (53.448)
Test: [130/164]	Loss 0.6104 (1.2401)	Accuracy 82.031 (55.236)
Test: [140/164]	Loss 1.5389 (1.2100)	Accuracy 52.344 (56.666)
Test: [150/164]	Loss 1.6416 (1.2391)	Accuracy 32.812 (55.205)
Test: [160/164]	Loss 2.0762 (1.2740)	Accuracy 25.781 (53.732)
 * Accuracy 53.358
Current best accuracy: 53.358421325683594
463.5949442386627
Current learning rate: 0.001
Epoch: [4][  0/383]	Loss 1.1568 (1.1568)	Accuracy 60.938 (60.938)
Epoch: [4][ 10/383]	Loss 1.2428 (1.1972)	Accuracy 57.031 (56.534)
Epoch: [4][ 20/383]	Loss 1.2236 (1.2213)	Accuracy 48.438 (55.543)
Epoch: [4][ 30/383]	Loss 1.1156 (1.1987)	Accuracy 56.250 (55.998)
Epoch: [4][ 40/383]	Loss 1.1113 (1.1858)	Accuracy 58.594 (56.460)
Epoch: [4][ 50/383]	Loss 1.3148 (1.1833)	Accuracy 52.344 (56.419)
